Förderkennzeichen (0010),Schlagwort1,Schlagwort2,Schlagwort3,Schlagwort4,Schlagwort5,Schlagwort6,Schlagwort
03SBE115E,Netzdienlichkeit,sozialwissenschaftliches Monitoring,Geschäftsmodelle,nicht-technische Hemmnisse,Sektorkopplung,,
03SBE115F,Netzdienlichkeit,sozialwissenschaftliches Monitoring,Geschäftsmodelle,nicht-technische Hemmnisse,Sektorkopplung,,
03EGB0023A,,,,,,,
03EGB0023B,,,,,,,
03EGB0023C,,,,,,,
03EN1008A,Material,Gebäudehülle,,,,,
03EN1008B,Material,Gebäudehülle,,,,,
03EN1008C,Material,Gebäudehülle,,,,,
03EN1015A,Energiemanagement,Flexibilität,Sektorkopplung,,,,
03EN1015B,Energiemanagement,Flexibilität,Sektorkopplung,,,,
03EN1015C,Energiemanagement,Flexibilität,Sektorkopplung,,,,
03EN1015D,Energiemanagement,Flexibilität,Sektorkopplung,,,,
03EN1015E,Energiemanagement,Flexibilität,Sektorkopplung,,,,
03EN1015F,Energiemanagement,Flexibilität,Sektorkopplung,,,,
03EN3009A,digitale Vernetzung Quartier,Sektorenkopplung,innovative Dienstleistungen,Geschäftsmodelle,nutzerbezogene Hemmnisse,,
03EN3009B,digitale Vernetzung Quartier,Sektorenkopplung,innovative Dienstleistungen,Geschäftsmodelle,nutzerbezogene Hemmnisse,,
03EN3009C,digitale Vernetzung Quartier,Sektorenkopplung,innovative Dienstleistungen,Geschäftsmodelle,nutzerbezogene Hemmnisse,,
03EN3009D,digitale Vernetzung Quartier,Sektorenkopplung,innovative Dienstleistungen,Geschäftsmodelle,nutzerbezogene Hemmnisse,,
03EN3009E,digitale Vernetzung Quartier,Sektorenkopplung,innovative Dienstleistungen,Geschäftsmodelle,nutzerbezogene Hemmnisse,,
03EN3009F,digitale Vernetzung Quartier,Sektorenkopplung,innovative Dienstleistungen,Geschäftsmodelle,nutzerbezogene Hemmnisse,,
03EN3010A,Planungstool,,,,,,
03EN3010B,Planungstool,,,,,,
03ET1606A,Lüftung,Betriebsoptimierung,,,,,
03ET1606B,Lüftung,Betriebsoptimierung,,,,,
03ET1606C,Lüftung,Betriebsoptimierung,,,,,
03ET1606D,Lüftung,Betriebsoptimierung,,,,,
03ET1607A,Energiemanagement,Flexibilität,digitale Vernetzung Quartier,innovative Dienstleistungen,Sektorkopplung,,
03ET1607B,Energiemanagement,Flexibilität,digitale Vernetzung Quartier,innovative Dienstleistungen,Sektorkopplung,,
03ET1607C,Energiemanagement,Flexibilität,digitale Vernetzung Quartier,innovative Dienstleistungen,Sektorkopplung,,
03ET1607D,Energiemanagement,Flexibilität,digitale Vernetzung Quartier,innovative Dienstleistungen,Sektorkopplung,,
03ET1607E,Energiemanagement,Flexibilität,digitale Vernetzung Quartier,innovative Dienstleistungen,Sektorkopplung,,
03ET1621A,Energiemanagement,Tools,,,,,
03ET1621B,Energiemanagement,Tools,,,,,
03ET1621C,Energiemanagement,Tools,,,,,
03ET1621D,Energiemanagement,Tools,,,,,
03ET1621E,Energiemanagement,Tools,,,,,
03ETW014A,Lastprofile,Simulation,Wärme,Industrie,,,
03ETW014B,Lastprofile,Simulation,Wärme,Industrie,,,
03ETW014C,Lastprofile,Simulation,Wärme,Industrie,,,
03ETW014D,Lastprofile,Simulation,Wärme,Industrie,,,
03SBE0006A,Fehlererkennung,Cloud,maschinelles Lernen,Datensuffizienz,Monitoring,,
03SBE0006B,Fehlererkennung,Cloud,maschinelles Lernen,Datensuffizienz,Monitoring,,
03SBE114I,Planungstool,Sektorkopplung,Speicher,,,,
03SBE115I,Netzdienlichkeit,sozialwissenschaftliches Monitoring,Geschäftsmodelle,nicht-technische Hemmnisse,Sektorkopplung,,
03EGB0010A,,,,,,,
03EGB0021A,,,,,,,
03EGB0021B,,,,,,,
03EGB0021C,,,,,,,
03EGB0021D,,,,,,,
03EGB0021E,,,,,,,
03EGB0021F,,,,,,,
03EGB0021G,,,,,,,
03EGB0021H,,,,,,,
03EN1002A,Nutzerinformationssystem,Datensuffizienz,Betriebsoptimierung,Nutzerakzeptanz,,,
03EN1002B,Nutzerinformationssystem,Datensuffizienz,Betriebsoptimierung,Nutzerakzeptanz,,,
03EN1002C,Nutzerinformationssystem,Datensuffizienz,Betriebsoptimierung,Nutzerakzeptanz,,,
03EN1002D,Nutzerinformationssystem,Datensuffizienz,Betriebsoptimierung,Nutzerakzeptanz,,,
03EN1002E,Nutzerinformationssystem,Datensuffizienz,Betriebsoptimierung,Nutzerakzeptanz,,,
03EN1014A,Fehlererkennung,Webservice,Datensuffizienz,Umweltwirkungen,,,
03EN1014B,Fehlererkennung,Webservice,Datensuffizienz,Umweltwirkungen,,,
03EN1014C,Fehlererkennung,Webservice,Datensuffizienz,Umweltwirkungen,,,
03EN3007A,Wärme,Sektorkopplung,Wärmenetze,,,,
03EN3007B,Wärme,Sektorkopplung,Wärmenetze,,,,
03EN3007C,Wärme,Sektorkopplung,Wärmenetze,,,,
03EN3007D,Wärme,Sektorkopplung,Wärmenetze,,,,
03EN3007E,Wärme,Sektorkopplung,Wärmenetze,,,,
03EN3007F,Wärme,Sektorkopplung,Wärmenetze,,,,
03EN3012A,intelligente Wärmenetze,Zustandsschätzung,Smart markets,Geschäftsmodelle,Sektorkopplung,,
03EN3012B,intelligente Wärmenetze,Zustandsschätzung,Smart markets,Geschäftsmodelle,Sektorkopplung,,
03EN3012C,intelligente Wärmenetze,Zustandsschätzung,Smart markets,Geschäftsmodelle,Sektorkopplung,,
03EN3013A,Nutzerakzeptanz,nicht-technische Erfolgsfaktoren,nutzerbezogene Hemmnisse,,,,
03EN3013B,Nutzerakzeptanz,nicht-technische Erfolgsfaktoren,nutzerbezogene Hemmnisse,,,,
03EN3014A,Planungstool,Geschäftsmodelle,innovative Dienstleistungen,,,,
03EN3014B,Planungstool,Geschäftsmodelle,innovative Dienstleistungen,,,,
03ET1446B,Betriebsoptimierung,Netze,Monitoring,,,,
03ET1638,Digitaler Zwilling,Netze,Sektorkopplung,,,,
03ETW016A,Datenhaltung,Betriebsoptimierung,Sektorkopplung,Kältenetz,,,
03ETW016B,Datenhaltung,Betriebsoptimierung,Sektorkopplung,Kältenetz,,,
03ETW016C,Datenhaltung,Betriebsoptimierung,Sektorkopplung,Kältenetz,,,
03ETW016D,Datenhaltung,Betriebsoptimierung,Sektorkopplung,Kältenetz,,,
03ETW016E,Datenhaltung,Betriebsoptimierung,Sektorkopplung,Kältenetz,,,
03ETW020,Kühlung,,,,,,
03SBE111B,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE111G,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE111I,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE111K,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE111N,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE111R,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE111U,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE111V,Service-Plattform,BIM,Energiemanagement,Geschäftsmodelle,nicht-technische Erfolgsfaktoren,,
03SBE114L,Planungstool,Sektorkopplung,Speicher,,,,
03EGB0022,,,,,,,
03EN1013A,Verschattung,,,,,,
03EN1013B,Verschattung,,,,,,
03EN3008A,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03EN3008B,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03EN3008C,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03EN3008D,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03EN3008E,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03EN3008F,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03EN3008G,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03EN3008H,digitalisierte Sektorkopplung,soziale Aspekte,Geschäftsmodelle,innovative Dienstleistungen,Datenanalyse,,
03ET1655A,Lüftung,,,,,,
03ET1655B,Lüftung,,,,,,
03SBE116I,Plattform,soziale Aspekte,nicht-technische Erfolgsfaktoren,,,,
03SBE116N,Plattform,soziale Aspekte,nicht-technische Erfolgsfaktoren,,,,
03SBE116Q,Plattform,soziale Aspekte,nicht-technische Erfolgsfaktoren,,,,
03EN3011A,Planungstool,GIS,innovative Dienstleistungen,nutzerbezogene Hemmnisse,nicht-technische Erfolgsfaktoren,,
03EN3011B,Planungstool,GIS,innovative Dienstleistungen,nutzerbezogene Hemmnisse,nicht-technische Erfolgsfaktoren,,
03EN3011C,Planungstool,GIS,innovative Dienstleistungen,nutzerbezogene Hemmnisse,nicht-technische Erfolgsfaktoren,,
03EN3017,Lastprognosen,maschinelles Lernen,Datensuffizienz,Leitfaden Anwendung KI,,,
03ET1645A,Plattform,Datensuffizienz,Monitoring,Datenschutz,,,
03ET1645B,Plattform,Datensuffizienz,Monitoring,Datenschutz,,,
03ET1645C,Plattform,Datensuffizienz,Monitoring,Datenschutz,,,
03ET1645D,Plattform,Datensuffizienz,Monitoring,Datenschutz,,,
03ET1645E,Plattform,Datensuffizienz,Monitoring,Datenschutz,,,
03EN1016A,Plattform,LCA,,,,,
03EN1016B,Plattform,LCA,,,,,
03EN1016C,Plattform,LCA,,,,,
03EN1016D,Plattform,LCA,,,,,
03EN1016E,Plattform,LCA,,,,,
03EN1019A,Material,,,,,,
03EN1019B,Material,,,,,,
03EN1019C,Material,,,,,,
03EN1019D,Material,,,,,,
03EN1019E,Material,,,,,,
03EN3021A,intelligente Wärmenetze,Plattform,Datenschutz,,,,
03EN3021B,intelligente Wärmenetze,Plattform,Datenschutz,,,,
03EN3021C,intelligente Wärmenetze,Plattform,Datenschutz,,,,
03EN3021D,intelligente Wärmenetze,Plattform,Datenschutz,,,,
03EN3021E,intelligente Wärmenetze,Plattform,Datenschutz,,,,
03ETW017A,Bauteil,Heizung,,,,,
03ETW017B,Bauteil,Heizung,,,,,
03ETW017C,Bauteil,Heizung,,,,,
03ETW017D,Bauteil,Heizung,,,,,
03ETW017E,Bauteil,Heizung,,,,,
03ETW017F,Bauteil,Heizung,,,,,
03ETW017G,Bauteil,Heizung,,,,,
03ETW023A,Solarthermie,Werkzeug,,,,,
03ETW023B,Solarthermie,Werkzeug,,,,,
03ETW024A,Fehlererkennung,Kälteanlagen,Schnittstellen,,,,
03ETW024C,Fehlererkennung,Kälteanlagen,Schnittstellen,,,,
03ETW024D,Fehlererkennung,Kälteanlagen,Schnittstellen,,,,
03EN1011A,Entscheidungsunterstützungssystem,maschinelles Lernen,Umweltwirkungen,Datensuffizienz,Monitoring,,
03EN1011B,Entscheidungsunterstützungssystem,maschinelles Lernen,Umweltwirkungen,Datensuffizienz,Monitoring,,
03EN1011C,Entscheidungsunterstützungssystem,maschinelles Lernen,Umweltwirkungen,Datensuffizienz,Monitoring,,
03EN1021A,Planungstool,BIM,TGA,,,,
03EN1021B,Planungstool,BIM,TGA,,,,
03EN1021C,Planungstool,BIM,TGA,,,,
03EN1021D,Planungstool,BIM,TGA,,,,
03EN1021E,Planungstool,BIM,TGA,,,,
03EN1021F,Planungstool,BIM,TGA,,,,
03EN3022A,Material,Netze,Wärme,,,,
03EN3022B,Material,Netze,Wärme,,,,
03EN3022C,Material,Netze,Wärme,,,,
03EN3022D,Material,Netze,Wärme,,,,
03EN1022A,,,,,,,
03EN1022B,,,,,,,
03EN1022C,,,,,,,
03EN1022D,,,,,,,
03EN3018A,thermische Speicher,Wärmenetze,,,,,
03EN3018B,thermische Speicher,Wärmenetze,,,,,
03EN3018C,thermische Speicher,Wärmenetze,,,,,
03EN3018E,thermische Speicher,Wärmenetze,,,,,
03EN3018F,thermische Speicher,Wärmenetze,,,,,
03EN3018G,thermische Speicher,Wärmenetze,,,,,
03ET1587A,Planungstool,Sektorkopplung,Energiemanagement,,,,
03ET1587B,Planungstool,Sektorkopplung,Energiemanagement,,,,
03ET1587C,Planungstool,Sektorkopplung,Energiemanagement,,,,
03EN3003A,Energiemanagement,Wärmenetze,thermische Speicher,,,,
03EN3003B,Energiemanagement,Wärmenetze,thermische Speicher,,,,
03EN3003C,Energiemanagement,Wärmenetze,thermische Speicher,,,,
03EN3003D,Energiemanagement,Wärmenetze,thermische Speicher,,,,
03EN3003E,Energiemanagement,Wärmenetze,thermische Speicher,,,,
03ET1626A,intelligente Wärmenetze,Schnittstellen,,,,,
03ET1626B,intelligente Wärmenetze,Schnittstellen,,,,,
03EN1012A,PV ,Dämmung,Fassade,,,,
03EN1012B,PV ,Dämmung,Fassade,,,,
03EN1012C,PV ,Dämmung,Fassade,,,,
03EN1012D,PV ,Dämmung,Fassade,,,,
03EN1012E,PV ,Dämmung,Fassade,,,,
03EN1023A,Betriebsoptimierung,Wärmeübertrager,,,,,
03EN1023B,Betriebsoptimierung,Wärmeübertrager,,,,,
03ET1590A,modellbasierte Optimierung,Nutzerverhalten,Sanierung,Energeimanagment,,,
03ET1590B,modellbasierte Optimierung,Nutzerverhalten,Sanierung,Energeimanagment,,,
03ET1590C,modellbasierte Optimierung,Nutzerverhalten,Sanierung,Energeimanagment,,,
03ETW019A,,,,,,,
03ETW019B,,,,,,,
03EGB0020A,Akzeptanz,,,,,,
03EGB0020B,Akzeptanz,,,,,,
03EGB0020C,Akzeptanz,,,,,,
03EN1009A,,,,,,,
03EN1009B,,,,,,,
03EN1009C,,,,,,,
03EN1009D,,,,,,,
03EN1009E,,,,,,,
03EN1009F,,,,,,,
03EN1009G,,,,,,,
03EN1009I,,,,,,,
03EN1009J,,,,,,,
03EN1026A,Digitaler Zwilling,,,,,,
03EN1026B,Digitaler Zwilling,,,,,,
03EN1026C,Digitaler Zwilling,,,,,,
03EN1026D,Digitaler Zwilling,,,,,,
03EN1026E,Digitaler Zwilling,,,,,,
03ET1632A,Netze,Wärme ,Kälte,Quartier,,,
03ET1632B,Netze,Wärme ,Kälte,Quartier,,,
03ET1632C,Netze,Wärme ,Kälte,Quartier,,,
03EN1017A,Innenraumqualität,,,,,,
03EN1017B,Innenraumqualität,,,,,,
03ETW018A,Wärme,Kälte,Wärmepumpe,,,,
03ETW018B,Wärme,Kälte,Wärmepumpe,,,,
03ET1656,Quartiere,,,,,,
03EN3020A,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020B,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020C,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020D,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020E,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020F,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03ETW022A,Verschattung,Solarthermie,,,,,
03ETW022B,Verschattung,Solarthermie,,,,,
03ETW022C,Verschattung,Solarthermie,,,,,
03EN1005A,Lüftung,Energieeffizienz,,,,,
03EN1005B,Lüftung,Energieeffizienz,,,,,
03SBE115K,Netzdienlichkeit,sozialwissenschaftliches Monitoring,Geschäftsmodelle,nicht-technische Hemmnisse,Sektorkopplung,,
03SBE115L,Netzdienlichkeit,sozialwissenschaftliches Monitoring,Geschäftsmodelle,nicht-technische Hemmnisse,Sektorkopplung,,
03EN3023A,Sektorkopplung,Wärmenetze,,,,,
03EN3023B,Sektorkopplung,Wärmenetze,,,,,
03EN3023C,Sektorkopplung,Wärmenetze,,,,,
03EN3023D,Sektorkopplung,Wärmenetze,,,,,
03ETW024B,Fehlererkennung,Kälteanlagen,Schnittstellen,,,,
03EGB0026A,,,,,,,
03EGB0026B,,,,,,,
03EGB0026C,,,,,,,
03EGB0026D,,,,,,,
03EGB0026E,,,,,,,
03EGB0026F,,,,,,,
03ETW013A,Fassaden,,,,,,
03ETW013B,Fassaden,,,,,,
03ETW013C,Fassaden,,,,,,
03ETW013D,Fassaden,,,,,,
03ETW013F,Fassaden,,,,,,
03ETW013G,Fassaden,,,,,,
03ETW013I,Fassaden,,,,,,
03EWB001A,Begleitforschung,,,,,,
03EWB001B,Begleitforschung,,,,,,
03EWB001C,Begleitforschung,,,,,,
03EWB002A,,,,,,,
03EWB002B,,,,,,,
03EWB003A,,,,,,,
03EWB003B,,,,,,,
03EWB003C,,,,,,,
03EWB004A,Wissensplattform,,,,,,
03EWB004B,Wissensplattform,,,,,,
03EWB004C,Wissensplattform,,,,,,
03SBE116O,Plattform,soziale Aspekte,nicht-technische Erfolgsfaktoren,,,,
03EWR010A,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010B,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010C,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010D,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010E,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010F,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010G,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010I,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR010J,IKT Infrastruktur,innovative Dienstleistungen,Smart markets,Sektorkoppleung,,,
03EWR020A,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020B,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020D,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020E,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020F,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020G,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020H,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020I,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020J,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020K,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020L,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020M,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020N,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020O,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020P,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
03EWR020Q,intelligente Wärmenetze,Geschäftsmodelle,Sektorkoppelung,,,,
