name|communicationMediumCategory|supportedTransmissionMediuems|associatedStandards|openSourceStatus|licensingFeeRequirement|networkTopology|security|bandwith|frequency|range|numberOfConnectedDevices|dataModelArchitecture|discovery|multiMaster|packetSize|priorities|price|osiLayers|buildingAutomationLayer|exampleProject|link|image
BACnet|Verkabelt & Drahtlos|Twisted-Pair, Lichtwellenleiter, Drahtloses Mesh|ANSI/ASHRAE Standard 135, ISO-16484-5, ISO-16484-6|Open Source|Keine Gebühr erforderlich|Star, Mixed|TLS (Transport Layer Security) und OAuth (Open Authorization)|10/100/1000 Mbps|Nicht anwendbar|Je nach Netzinfrastruktur sehr unterschiedlich||Object-Properties|Ja|Ja||Liste mit Rangordnung (die Prioritätsstufe der Objekteigenschaften). Für die Prioritätsstufe gibt es 16 Stufen, wobei 1 die höchste und 16 die niedrigste ist.||Bitübertragungsschicht, Sicherungsschicht, Vermittlungsschicht, Anwendungsschicht|Feldebene, Automationsebene, Managementebene||https://www.bacnet.org/|BACnet_logo.png
KNX|Verkabelt & Drahtlos|Elektrisches Netz, Funk, IP, Twisted-Pair|ISO/IEC 14543-3, CENELEC EN 50090, CEN EN 13321-1, ANSI/ASHRAE 135, GB/T 20965|Open Source|Gebühr erforderlich|Tree, Line, Star|KNX Secure implementiert Datenverschlüsselung und Authentifizierung|9,6 Kbps|Nicht anwendbar|Je nach Netzinfrastruktur sehr unterschiedlich||Group Objects - Group Addresses |Ja|Ja||Basierend auf der Angabe der Prioritätsstufe der Gruppenobjekte. 4 Stufen: System, dringend, normal oder niedrig||Bitübertragungsschicht, Sicherungsschicht, Vermittlungsschicht, Transportschicht, Anwendungsschicht|Feldebene, Automationsebene, Managementebene||https://www.knx.org/|KNX_logo.png
Zigbee|Drahtlos|Funkfrequenz|IEEE 802.15.4|Open Source|Gebühr erforderlich|Mesh, Star, Tree|Daten werden mit AES-Algorithmus und 128-Bit-Schlüssel verschlüsselt|20 - 250 Kbps|2,4 GHz|10 - 100 m||Clusters - Attributes|Ja|Ja||first-come-first-serve||Bitübertragungsschicht, Sicherungsschicht, Vermittlungsschicht, Anwendungsschicht|Feldebene||https://csa-iot.org/all-solutions/zigbee/|Zigbee_logo.png
Modbus|Verkabelt & Drahtlos|Twisted-Pair, Lichtwellenleiter, Drahtloses Mesh|IEC 61158|Open Source|Keine Gebühr erforderlich|Bus, Point-to-point, Tree, Star, Ring|Das Modbus-Protokoll selbst enthält keine integrierten Verschlüsselungs- oder Authentifizierungsmerkmale|RTU: 19,2 Kbps, TCP: 10/100/1000 Mbps|Nicht anwendbar|Je nach Netzinfrastruktur sehr unterschiedlich||Registers & Coils|Nein|Abhängig von Implementierung||first-come-first-serve||Anwendungsschicht|Feldebene, Automationsebene||https://www.Modbus.org/|Modbus_logo.png
MQTT|Verkabelt & Drahtlos|Twisted-Pair, Koaxial, Optische Fasern, Wifi, Mobilfunknetze|ISO/IEC 20922|Open Source|Keine Gebühr erforderlich|Client-server|TLS (Transport Layer Security) und OAuth (Open Authorization)|Keine spezifischen Anforderungen|Nicht anwendbar|Je nach Netzinfrastruktur sehr unterschiedlich||Topics|Nein|Nein||Quality of Service (QOS)-Stufen können zur Priorisierung der Nachrichtenzustellung verwendet werden||Transportschicht, Anwendungsschicht|Automationsebene, Managementebene||https://mqtt.org/|MQTT_logo.png
LonWorks|Verkabelt & Drahtlos|Elektrisches Netz, Funkfrequenz, Optische Fasern, Koaxial, Twisted-Pair|ANSI/EIA 709.1, ISO/IEC 14908-1, 14908-2, 14908-3, 14908-4|Proprietär|Gebühr erforderlich|Bus, Tree, Star, Ring|Keine Datenverschlüsselung. Implementiert Senderauthentifizierung|9,8 Kbps - 1,25 Mbps|Nicht anwendbar|Je nach Netzinfrastruktur sehr unterschiedlich||Network variables|Ja|Ja||Verwendet ein Prioritätsabfragemodell||Bitübertragungsschicht, Sicherungsschicht, Vermittlungsschicht, Transportschicht, Anwendungsschicht|Feldebene, Automationsebene, Managementebene||http://www.lonmark.org/|LonWorks_logo.png
OPC UA|Verkabelt & Drahtlos|Twisted-Pair, Koaxial, Optische Fasern, Wifi, Mobilfunknetze|IEC62541|Open Source|Gebühr erforderlich|Client-server|Authentifizierung und Autorisierung, Verschlüsselung und Datenintegrität durch Signaturen|Keine spezifischen Anforderungen|Nicht anwendbar|Je nach Netzinfrastruktur sehr unterschiedlich||Nodes|Ja|Nein||Auf der Grundlage der Knotenpriorität	||Transportschicht, Sitzungsschicht, Anwendungsschicht|Automationsebene, Managementebene|https://ieeexplore.ieee.org/document/8905725/|https://opcfoundation.org/|OPC UA_logo.png
DALI|Verkabelt & Drahtlos|Twisted-Pair|IEC 62386|Open Source|Gebühr erforderlich|Bus, Star|Keine Sicherheitsmaßnahmen implementiert|1,2 Kbps|Nicht anwendbar|300 m||Commands|Ja|Nein||Basierend auf der Angabe der Prioritätsstufe (2 ist die höchste Priorität und 5 ist die niedrigste)||Bitübertragungsschicht, Sicherungsschicht|Feldebene||https://www.dali-alliance.org/|DALI_logo.png
EnOcean|Drahtlos|Funkfrequenz|ISO/IEC 14543-3-10|Open Source|Gebühr erforderlich|Point-to-point|TLS mit AES-128-Bit-Verschlüsselung. Daten werden mit AES-Algorithmus und 128-Bit-Schlüssel verschlüsselt|125 Kbps|902; 928,35; 868,3 oder 315 MHz|30 m||Telegrams|Nein|Ja||Basiert auf einem hierarchischen Prioritätssystem||Bitübertragungsschicht, Sicherungsschicht, Anwendungsschicht|Feldebene||https://www.enocean.com/de/|EnOcean_logo.png
LoRaWan|Drahtlos|Funkfrequenz|ITU-T Y.4480 |Open Source|Gebühr erforderlich|Mesh, Star|Zwei Schichten (Netz- und Anwendungsschicht) der AES-128-Verschlüsselung sind implementiert|0,3 - 50 Kbps|923 MHz; 915 MHz; 868 MHz; 865 MHz oder 2,4 GHz|2 km in städtischen Gebieten, 40 km in ländlichen Gebieten||MAC commands|Nein|Nein||||Sicherungsschicht, Vermittlungsschicht, Anwendungsschicht|Feldebene ||https://lora-alliance.org/lorawan-for-developers/|LoRaWan_logo.png
m-Bus|Verkabelt & Drahtlos|Twisted-Pair, Funkfrequenz|"EN 13757-2,
EN 13757-3,
EN 13757-4"|Open Source|Keine Gebühr erforderlich|Bus|Wireless M-Bus (wM-Bus) enthält Optionen für Verschlüsselung und  Authentifizierung, typischerweise mit AES-128-Verschlüsselung|0,3 - 100 Kbps|915MHz; 868MHz; 433MHz; 315 MHz oder 169MHz|wMbus: 30-150m in Gebäuden||Data records|Nein|Nein||||Bitübertragungsschicht, Sicherungsschicht, Vermittlungsschicht, Anwendungsschicht|Feldebene||https://m-bus.com/|m-Bus_logo.png
profibus|Verkabelt|Twisted-Pair, Elektrisches Net, Optische Fasern|"IEC 61158/61784-1,
EN 50170"|Proprietär|Gebühr erforderlich / offen (unklar)|Bus, Star, Ring|Keine eingebauten Verschlüsselungs- oder Authentifizierungsfunktionen|9,6 Kbps – 12 Mbps|Nicht anwendbar|Je nach Netzinfrastruktur sehr unterschiedlich||Data blocks|Nein|Ja||Nachrichtenzyklen mit niedriger Priorität werden nur ausgeführt, wenn keine Nachrichten mit hoher Priorität anstehen||Bitübertragungsschicht, Sicherungsschicht, Anwendungsschicht|Feldebene, Automationsebene||https://www.profibus.com/technology/profibus/|profibus_logo.png
