"Tool";"Kurzbeschreibung";"Anwendungsbereich";"Kategorie";"Lebenszyklusphase";"Nutzerschnittstelle";"Zielgruppe";"letztes Update";"Lizenz";"weitere Informationen";"Alternativen";"konkrete Anwendung in EWB Projekten";"Nutzerbewertungen"
"ArcGIS";"ArcGIS ist der Oberbegriff für verschiedene Geoinformationssystem-Softwareprodukte des Unternehmens ESRI.";"u.a. Umweltanalyse, Kartenerstellung, militärischer Bereich, Katastrophenschutz";"Datenverwaltung, Anzeige und Gestaltung";"Planung";"Cloud-based Software";"Kommunen und Sicherheitsbehörden";01.05.21;"kostenpflichtig";"https://www.arcgis.com/index.html";;;
"AutoCAD";"AutoCAD ist eine CAD-Software, die Architekten, Ingenieure und Baufachleute zur Erstellung präziser 2D- und 3D-Zeichnungen einsetzen.";"Entwerfen und bearbeiten von Volumenkörpern, Flächen und Netzobjekten";"Modellbildung";"Planung";"Software";"Architekten, Ingenieure, Baufachleute";"laufend";"kostenpflichtig";"https://www.autodesk.de/products/autocad/";;;
"Mondas";"Bei der mondas® IoT-Plattform handelt es sich um ein webbasiertes Analysetool, das speziell für große Datenmengen ausgelegt ist. Die Plattform kann vielfältige Aufgaben wie Energie- und Anlagenmonitoring, Inbetriebnahme-Monitoring, Predictive Maintenance oder Logistik übernehmen. Für die Überwachung eignen sich Anlagen wie Blockheizkraftwerke, Solaranlagen, aber auch Kältemaschinen, Druckluftkompressoren sowie die gesamte Gebäudetechnik in großen Liegenschaften und komplexen Verwaltungsgebäuden.";"Energie und Anlagenmonitoring, Predictive Maintenance, Logistik";"Cloud-basiertes Echtzeit Monitoring";"Betrieb";"Webbasiert";"Anlagenhersteller und Betreiber, Energiedienstleister, Liegenschaftsverwalter, TGA-Planungsbüros, Fertigungsbetriebe";"laufend";"kostenpflichtig";"https://mondas-iot.com/";;;
"C#";"C# ist eine typsichere objektorientierte Allzweck-Programmiersprache.";;"Programmiersprache";;;;"laufend";"Open-Source";;;;
"CAD";"CAD (computer-aided-design) bezeichnet die Unterstützung von konstruktiven Aufgaben mittels EDV zur Herstellung eines Produkts.";"in fast allen Zweigen der Technik: z.B. Architektur, Bauingenieurwesen, Maschinenbau, Elektrotechnik ";"Konstruktion";"Planung, Umsetzung";"CAD-Software";"u.a. Ingenieure, Architekten";;;;;;
"CloneMAP";"CloneMAP (cloud-native Multi-Agent Plattform) ist eine Multi-Agenten Plattform, welche für die Ausführung in einem Kubernetes-Cluster entwickelt wurde. Das Ziel dieses Projekts ist es, die Vorteile von Cloud-Computing und einem verteilten Programmierparadigma (Multi-Agenten Systeme) zu kombinieren. cloneMAP ist in der Programmiersprache Go geschrieben.";"vier Module: -Core: MAS und Agenten Erzeugung sowie Überwachung -DF: Service Registrierung und Discovery -IoT: MQTT Broker -Logging: Speichern von Logs und Zustandsinformationen";"Cloud Anwendung, Datenverarbeitung";"/";"Software Bibliothek (Sprache: Go)";"Informatiker, Software-Entwickler";;"kostenfrei";"https://www.fein-aachen.org/projects/clonemap/";;;
"Comsol";"COMSOL Multiphysics ist eine Software zur Simulation physikalischer Vorgänge, die mittels Differentialgleichungen beschrieben werden können.";"physikalische Modellierungen";"Analyse";"Planung, Betrieb";"Software, GUI";"Physiker, Ingenieure";01.12.21;"kostenpflichtig";"https://www.comsol.de/";;;
"FMI";"Das Functional Mock-up Interface (FMI) ist ein freier Standard, der den Austausch dynamischer Modelle mithilfe einer Kombination aus XML-Dateien, Binärdateien und C-Code, die in einer einzigen Datei gezippt sind, ermöglicht.";"Erstellen eines virtuellen Produktes";"Modellierung";"Planung";"Softwarebibliothek (Sprache: C)";"Softwareentwickler";01.11.21;"Open-Source";"https://fmi-standard.org/";;;
"Oemof";"Das Modellierungsframework oemof (Open Energy Modelling Framework) ist ein Werkzeug zur Modellierung und Analyse von Energiesystemen.";"Energiesystemmodellierung";"Modellierung";"Planung, Betrieb";"Softwarebibliothek (Sprache: Python)";"Ingenieure, Software-Entwickler";"letzter Push bei GitHub: Feb 2021";"Open-Source";"https://reiner-lemoine-institut.de/oemof/";;;
"DesignBuilder";"DesignBuilder für Ingenieure dient u.a. zur Unterstützung bei der nachhaltigen Gebäudeplanung. Führende Dienstleistungsingenieure und Energiemodellierer verwenden DesignBuilder, um Designentscheidungen zu treffen, die Energieeffizienz, Komfort und Kosten optimieren.";"Gebäudeplanung, Energiemodellierung";"Modellierung";"Planung";"Software, GUI";"Ingenieure, Architekten";01.11.21;"kostenpflichtig";"https://designbuilder.co.uk/";;;
"Dymola";"Dymola ist eine kommerzielle Modellierungs- und Simulationsumgebung basierend auf der offenen Modellierungssprache Modelica.";"u.a. Automobilbau, Luft- und Raumfahrt, Robotik, Prozesstechnik ";"Modellierung, Simulation";"Planung";"Software, GUI";"Ingenieure";01.11.21;"kostenpflichtig";"https://www.3ds.com/de/produkte-und-services/catia/produkte/dymola/";;;
"Eclipse mosquitto";"Eclipse Mosquitto ist ein open source (EPL/EDL licensed) message broker, welcher mit dem MQTT protocol arbeitet";"Internet of Things messaging";"message broker";"/";"Softwarebibliothek (Sprache: C)";"Informatiker";"letzter Push bei GitHub: Nov 2021";"Open-Source";"https://mosquitto.org/";;;
"Earth Energy Designer";"EED ist ein PC-Programm zur Auslegung vertikaler Erdwärmesonden";"Wärmetausch-Modellierung";"Modellierung";"Planung";"Software, GUI";"Ingenieure";01.04.19;"kostenpflichtig";"https://buildingphysics.com/eed-2/";;;
"EnerCalC";"EnerCalC bietet die Möglichkeit mit relativ geringem Eingabeaufwand den Energiebedarf für ein Gebäude in Anlehnung an die DIN V 18599 differenziert zu bilanzieren.";"Energiebilanzierung in Gebäuden";"Energiemanagement";"Betrieb";"Excel-basierte Software";"Ingenieure, Baufachleute";;"kostenpflichtig";"https://ingefo.de/Werkzeuge/EnerCalC/";;;
"Energyplus";"EnergyPlus ist ein Gebäudeenergie-Simulationsprogramm für Ingenieure und Architekten um sowohl den Energieverbrauch für Heizung, Kühlung, Lüftung, Beleuchtung sowie Plug-and-Process-Lasten und den Wasserverbrauch in Gebäuden zu modellieren und zu simulieren.";"Gebäudeenergie Planung";"Simulation";"Planung";"console-based program (Sprache: C++)";"Ingenieure, Architekten";01.09.21;"free, open-source, and cross-platform";"https://energyplus.net/";;;
"Synavision";"Erstellung einer digitalen Funktionsbeschreibung der Steuer- und Regelungsfunktionen individueller Gebäude.";"Technisches Gebäudemonitoring, Gebäudemanagement";"Monitoring, Betriebsoptimierung";"Betrieb";"Software, GUI";"Ingenieure, Baufachleute";;"kostenpflichtig";"https://www.synavision.de/";;;
"Feflow";"FEFLOW (Finite Element subsurface FLOW System) ist ein Computerprogramm zur Simulation des Grundwasserflusses, des Stoffübergangs und des Wärmeübergangs in porösen und gebrochenen Medien.";"Grundwasser Modellierung";"Modellierung, Simulation";"Planung, Betrieb";"Software, GUI";"Ingenieure";2021;"kostenpflichtig";"https://www.mikepoweredbydhi.com/products/feflow";;;
"Grafana";"Grafana ist eine plattformübergreifende Open-Source-Anwendung zur grafischen Darstellung von Daten aus verschiedenen Datenquellen wie z. B. InfluxDB, MySQL, PostgreSQL, Prometheus und Graphite. Die erfassten Rohdaten lassen sich anschließend in verschiedenen Anzeigeformen ausgeben.";"Visualisierung";"Monitoring, Datenverarbeitung";"Betrieb";"Multi Plattform Software (Sprache: TypeScript)";"Informatiker, Ingenieure";"laufend";"kostenlose Version verfügbar, kostenpflichtige Versionen für professionelle Anwendungen";"https://grafana.com/";;;
"Grasshopper";"Grasshopper ist ein Plugin für Rhinoceros 3D. Es ermöglicht die Modellierung von generativen Geometrien in einem grafischen Editor. Neben einem einfachen Einstieg ist aber auch die Einbindung von Scripten und Formeln möglich.";"Grasshopper liefert die Grundlage für viele Drittentwickler-Komponenten, von der Umweltanalyse bis zur Robotersteuerung";"Modellanalyse";"Planung";"Plugin";"u.a. Ingenieure, Informatiker";01.02.21;"kostenpflichtig";"https://www.rhino3d.com/de/6/new/grasshopper/";;;
"IDA-ICE";"IDA Indoor Climate and Energy ist eine Software zur Simulation der Gebäudeleistung";"Analyse von Gebäude, Anlagentechnik und deren Regelung";"Simulation, Betriebsoptimierung";"Betrieb";"Software, GUI";"Ingenieure, Baufachleute";"??";"kostenpflichtig";"https://www.equa.se/de/ida-ice";;;
"Influx DB";"InfluxDB ist ein Open Source Datenbankmanagementsystem, speziell für Zeitreihen.";"Datenbankmanagement";"Datenbankmanagement";"/";"Softwarebibliothek (Sprache: Go)";"Informatiker";01.11.21;"Open-Source";"https://www.influxdata.com/";;;
"KNIME";"KNIME, der „Konstanz Information Miner“, ist eine freie Software für die interaktive Datenanalyse. KNIME ermöglicht durch das modulare Pipelining-Konzept die Integration zahlreicher Verfahren des maschinellen Lernens und des Data-Mining.";"z.B. pharmazeutische Forschung, Kundenpflege (CRM), Business Intelligence und Finanzdatenanalyse";"Datenanalyse";"Datenmodelle";"Software, grafische Desktop-Umgebung";"Verwaltung";01.10.21;"kostenlose Version verfügbar, kostenpflichtige Versionen für professionelle Anwendungen";"https://www.knime.com";;;
"LS-DYNA";"LS-DYNA ist ein Simulationsprogramm, das mit Hilfe der Finite-Elemente-Methode arbeitet und  auf Basis des Vorgängerprogramms DYNA3D entwickelt wurde. Insbesondere nicht-lineare und hochdynamische Problemstellungen können mit diesem Programm bearbeitet werden.";"u.a. Crashtest-Simulationen und andere hochdynamische Problemstellungen";"Simulation";"Planung";"Software, GUI";"Ingenieure, Produktentwickler";01.11.21;"kostenpflichtig";"https://www.dynamore.eu/de/produkte/dyna/einfuehrung";;;
"MATLAB";"Matlab ist eine kommerzielle Software zur Lösung mathematischer Probleme und zur grafischen Darstellung der Ergebnisse.";"numerische Lösungen von Problemen im Bereich Datenerfassung, Datenanalyse und -auswertung";"Berechnung, Datenanalyse";"Planung, Betrieb";"Software, grafische Desktop-Umgebung";"u.a. Industrie und Hochschulen ";01.09.21;"kostenpflichtig";"https://www.mathworks.com/products/matlab.html";;;
"BIM2SIM";"Methodenentwicklung zur Erstellung von Simulationsmodellen aus Daten des Building Information Modeling";"Simulation von Energieverbräuchen  einzelner Gebäude und ganzer Distrikte";"Simulation";"Planung, Betrieb";"Software";"u.a. Ingenieure, Informatiker";;;"https://www.accu-rate.de/de/bim/";;;
"Excel";"Microsoft Excel ist das am weitesten verbreitete Tabellenkalkulationsprogramm.";"Tabellenkalkulation";"/";"/";"Software, GUI";"keine spezifische";"laufend";"kostenpflichtig";;;;
"Visio";"Microsoft Visio ist ein Visualisierungsprogramm von Microsoft für Windows. ";"Diagrammdesign";"Visualisierung";"/";"Software";"/";01.06.21;"kostenpflichtig";"https://www.microsoft.com/de-de/microsoft-365/visio/flowchart-software";;;
"Dynamic ISO Building Simulator";"Mit dem Simulationsprogramm DIBS (Dynamic ISO Building Simulator) lässt sich der Endenergiebedarf für Heizung und Kühlung von Nichtwohngebäuden (NWG) in Deutschland mit geringem Aufwand berechnen.";"Thermische Simulation";"Simulation";"Planung";"Software Bibliothek (Sprache: Python)";"Ingenieure, Architekten";"laufend";"Open-Source";"https://github.com/IWUGERMANY/DIBS---Dynamic-ISO-Building-Simulator#readme";;;
"Ansys Fluids  Computational Fluid Dynamics (CFD) Simulation";"Mit der ANSYS Fluids Produktfamilie für Strömungsmechanik steht Ingenieuren ein breites Portfolio technisch führender Technologien für das gesamte Anwendungsspektrum der Fluidsimulation zur Verfügung, mit denen sie den Einfluss von Fluidströmungen auch bei komplexen Wechselwirkungen zwischen verschiedenen physikalischen Einflussfaktoren sowie beweglichen Geometrien zuverlässig ermitteln können.";"angewandte Fluidsimulation, z.B. Effizienzsteigerung eines Verbrennungsmotors";"Simulation";"Planung";"Software, grafische Desktop-Umgebung";"Ingenieure";"laufend";"kostenpflichtig";"https://www.ansys.com/de-de/products/fluids";"Openfoam";;
"Modelica";"Modelica ist eine objektorientierte Modellierungssprache für physikalische Modelle.";"Programmiersprache";"Modellierung";"/";"Open Source Software, kommerzielle Frontends sind verfügbar (z.B. Dymola)";"Softwareentwickler";01.02.21;"Open-Source";"https://modelica.org/";;;
"MoniSoft";"MoniSoft ist eine plattformunabhängige Software, die das Monitoring und die Betriebsanalyse von Gebäuden vereinfacht.";"Betriebsoptimierung von Gebäuden";"Monitoring";"Betrieb";"Software, sowohl über die Kommandozeile als auch über eine grafische Nutzeroberfläche (GUI) nutzbar";"Ingenieure, Gebäudetechniker";;"kostenfrei für öffentlich geförderten Monitoring-Projekten bzw. kostenpflichtig für kommerzielle Nutzung ";"https://www.th-rosenheim.de/forschung-entwicklung/kompetenzfelder-und-projekte/energietechnik-und-energieeffizienz/projektarchiv/monisoft-20/";;;
"NANDRAD";"NANDRAD ist eine moderne Gebäudesimulationsplattform für die dynamische Bewertung der Energieeffizienz eines Gebäudes.";"u.a. Gebäudeerstellung und energetische Gebäudesimulation";"Simulation";"Planung, Betrieb";"Plattform";"Architekten, Ingenieure, Baufachleute";01.05.19;"kostenfrei";"http://bauklimatik-dresden.de/nandrad/";;;
"OpenGeoSys";"OpenGeoSys (OGS) ist ein wissenschaftliches Open-Source-Projekt zur Entwicklung numerischer Methoden zur Simulation von thermo-hydro-mechanisch-chemischen (THMC) Prozessen in porösen und gebrochenen Medien.";"Simulation thermo-hydro-mechanisch-chemischer (THMC) Prozesse";"Simulation";"Planung";"Softwarebibliothek (Sprache: C++)";"Softwareentwickler, Ingenieure";01.10.21;"Open-Source";"https://www.opengeosys.org/";;;
"OpenModelica";"OpenModelica ist eine kostenlose Open Source-Umgebung, die auf der Modelica-Modellierungssprache zum Modellieren, Simulieren, Optimieren und Analysieren komplexer dynamischer Systeme basiert.";"Forschung, Lehre und industrielle Anwendungen";"Programmier-umgebung";"/";"Programmierumgebung (Sprache: Modelica)";"Ingenieure, Software-Entwickler";01.12.21;"Open-Source";"https://www.openmodelica.org/";;;
"PostgreSQL";"PostgreSQL, oft kurz Postgres genannt, ist ein freies, objektrelationales Datenbankmanagementsystem.";"Datenbankmanagement";"Datenbanksystem, Server";"Betrieb";"Konsolenanwendung, Programme mit GUI müssen separat installiert werden";"Informatiker";01.11.21;"kostenfrei, open-source";"https://www.postgresql.org/";;;
"Python";"Python ist eine universelle, üblicherweise interpretierte, höhere Programmiersprache.";;"Programmiersprache";;;;;;;;;
"QGIS";"QGIS ist eine freie Geoinformationssystemsoftware zum Betrachten, Bearbeiten, Erfassen und Analysieren räumlicher Daten.";"Geoinformationssystemsoftware";"Datenmodelle";"Betrieb";"Grundlage bildet die plattformunabhängige Qt-Bibliothek";"Informatiker, Raumplaner";01.10.21;"kostenfrei";"https://www.qgis.org/de/site/";;;
"R-Skript";"R ist eine freie Softwareumgebung für statistische Berechnungen und Grafiken. ";"Statische Berechnungen";"Modellierung, Simulation";"Planung, Betrieb";"Softwarebibliothek (Sprache: R)";"Statistiker";01.11.21;"Open-Source";"https://www.r-project.org/";;;
"R-FEM";"RFEM ist eine 3D-FEM-Software zur statischen Berechnung und Bemessung von Stahl-, Stahlbeton-, Holz-, Glas- und Membran-Strukturen, für den Anlagen- und Maschinenbau sowie für dynamische Analysen.";"Statische Berechnung von technischen Werkstoffen";"Modellierung";"Planung";"Software, GUI";"Ingenieure, Baufachleute";01.11.21;"kostenpflichtig";"https://www.dlubal.com/de/produkte/fem-statik-software-rfem/was-ist-rfem";;;
"Rhino";"Rhinoceros 3D ist eine Software für die computergestützte 3D-Modellierung und das rechnergestützte Konstruieren.";"Rhinoceros wird beispielsweise in der CAD, CAM, im Rapid Prototyping, im 3D-Druck, im Produktdesign und im Grafik- und Multimediadesign genutzt.";"Modellanalyse";"Planung";"Software, grafische Desktop-Umgebung";"u.a. Ingenieure, Konstrukteure";01.10.21;"kostenpflichtig";"https://www.rhino3d.com/";;;
"R-Stab";"RSTAB ist ein 3D-Statik-Programm, das sich für die Berechnung von Stabwerken eignet, die in der Regel auch als Tragwerk fungieren.";"u.a. Modellierung von Brücken- und Gebäudetragwerken";"Modellierung";"Planung";"Software, GUI";"Ingenieure, Baufachleute";01.11.21;"kostenpflichtig";"https://www.dlubal.com/de/produkte/stabwerksprogramm-rstab/was-ist-rstab";;;
"Star CCM";"Simcenter STAR-CCM + ist eine kommerzielle, auf Computational Fluid Dynamics basierende Simulationssoftware";"Analyse technischer Probleme im Zusammenhang mit Flüssigkeitsströmung, Wärmeübertragung, Spannung, Partikelströmung, Magnetismus und verwandten Phänomenen";"Analyse";"Vorplanung, Planung";"Software";"Ingenieure, Physiker";2021;"kostenpflichtig";"https://www.plm.automation.siemens.com/global/de/products/simcenter/STAR-CCM.html";;;
"SimulationX";"SimulationX ist eine CAE-Software (Computer Aided Engineering) für die Simulation physikalisch-technischer Systeme und Anlagen";"SimulationX wird in der Wissenschaft und Industrie zur Analyse der Eigenschaften komplexer mechatronischer Systeme verwendet";"Modellierung, Simulation, Analyse";"Planung, Betrieb";"SimulationX provides open, comprehensive CAx-interfaces to external programs";"Technische Fachkräfte";01.01.21;"kostenpflichtig";"https://www.esi-group.com/products/system-simulation";;;
"SIMULINK";"Simulink ist eine Software zur Modellierung von technischen, physikalischen, finanzmathematischen und anderen Systemen. Simulink ist ein Zusatzprodukt zu MATLAB und benötigt dieses zum Ausführen.";"Model-Based-Design";"Modellanalyse, Simulation";"Planung, Umsetzung";"Software, grafische Desktop-Umgebung";"u.a. Industrie und Hochschulen ";"laufend";"kostenpflichtig";"https://de.mathworks.com/products/simulink.html";;;
"sisKMR";"sisKMR dient zur Berechnung von Kunststoffmantelrohrleitungen und beliebigen freigelagerten, räumlichen Rohrsystemen in der Fernwärme,
der Industrie und im Anlagenbau.";"Berechnung von Rohrsystemen/ Rohrstatik";"Modellierung, Simulation";"Planung";"Software, GUI";"Ingenieure";01.04.21;"kostenpflichtig";"https://siskmr.com/";;;
"T*SOL";"T*SOL ist ein dynamisches Simulationsprogramm zur Auslegung, Optimierung und Berechnung von solarthermischen Anlagen.";"Simulation solarthermischer Anlagen";"Simulation";"Planung";"Software, GUI";"Ingenieure, Baufachleute";01.08.21;"kostenpflichtig";"https://valentin-software.com/produkte/tsol/";;;
"Influx Telegraf";"Telegraf ist ein Plugin-basierter Server Agent , welcher beim Sammeln und Versenden von Softwaremetriken unterstützt";"?? ";"Datenmanagement";"/";"Softwarebibliothek (Sprache: Go)";"Informatiker";01.01.22;"Open-Source";"https://www.influxdata.com/time-series-platform/telegraf/";;;
"Tensorflow";"TensorFlow ist ein Framework zur datenstromorientierten Programmierung. Populäre Anwendung findet TensorFlow im Bereich des maschinellen Lernens.";"In der Forschung und im Produktivbetrieb wird TensorFlow derzeit in kommerziellen Google-Produkten wie der Spracherkennung, Gmail, Google Fotos und Google Suche verwendet";"Datenanalyse, Machine Learning";"Planung";"Sofware Bibliothek (Sprache: C++)";"Informatiker";01.11.21;"Open-Source-Kernbibliothek";"https://www.tensorflow.org";;;
"TRNSYS";"TRNSYS (abgekürzt: TRaNsient SYstems Simulation) ist eine flexible, grafisch basierte, modulare Softwareumgebung, die es ermöglicht, das Verhalten transienter Systeme zu simulieren, daher der Name. ";"u.a. dynamischen Berechnung von einfachen Solaranlagen, komplexen Gebäuden und Systemen zur rationellen Energienutzung";"Simulation";"Planung";"graphically based software environment";"Ingenieure, Architekten";"laufend";"kostenpflichtig, günstiger für Hochschulen";"https://trnsys.de/";;;
"WPSOURCE";"WPsource bietet ein digitales Pre-Check-Tool, welches Planern und Architekten eine Vorauswahl und Bewertung von Wärmequellen und Wärmetauschern ermöglicht. ";"Bewertung und Vorauswahl sowie überschlägige Dimensionierung unterschiedlicher Wärmequellen und -übertragersysteme";"Simulation, Analyse";"Vorplanung";"MS Excel-basiertes Werkzeug ";"Ingenieure, Baufachleute";01.10.19;"?";"https://www.ki-portal.de/wp-content/uploads/2017/04/KI_4_2017_044.pdf";;;
"WUFI Plus";"WUFI (Wärme Und Feuchte Instationär) ist eine Software-Familie zur realitätsnahen instationären Berechnung Wärme- und Feuchtetransports in mehrschichtigen Bauteilen und Gebäuden unter natürlichen Klimabedingungen. ";"Fragestellungen hinsichtlich Komfort und Energiebedarf oder hygrothermische Gebäudesimulation ";"Simulation";"Planung, Betrieb";"Software, GUI";"Ingenieure, Baufachleute";01.12.21;"kostenpflichtig";"https://wufi.de/de/software/wufi-plus";;;
