CASE;D101;D101_01;D101_02;D101_03;D101_04;D101_05;D101_05a;D101_06;D101_06a;D103;D103_01;D103_02;D103_03;D103_04;D103_05;D103_06;D103_07;D103_08;D103_09;D103_10;D103_11;D103_12;D103_13;D103_13a;D103_14;D103_14a;D104;D104_01;D104_02;D104_03;D104_04;D104_05;D104_06;D104_07;D104_08;D104_08a;D104_09;D104_09a;D106;D106_01;D106_02;D106_03;D106_04;D106_05;D106_06;D106_07;D106_07a;D106_08;D107;D107_01;D107_02;D107_03;D107_04;D107_05;D107_06;D107_07;D107_07a;D107_08;D107_08a;D108;D108_01;D108_02;D108_03;D108_04;D108_05;D108_06;D108_07;D108_08;D108_09;D108_10;D108_11;D108_12;D108_13;D108_14;D108_14a;D109;D109_01;D109_02;D109_03;D109_04;D109_05;D109_06;D109_07;D109_08;D109_09;D109_10;D109_11;D109_11a
Interview-Nummer (fortlaufend);Software für Monitoring: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Software für Monitoring: MoniSoft;Software für Monitoring: mondas;Software für Monitoring: aedifion;Software für Monitoring: Nicht zutreffend;Software für Monitoring: Sonstige;Software für Monitoring: Sonstige (offene Eingabe);Software für Monitoring: Eigene Entwicklung;Software für Monitoring: Eigene Entwicklung (offene Eingabe);Datenbank: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Datenbank: InfluxDB;Datenbank: TimeScaleDB;Datenbank: PostgreSQL;Datenbank: Prometheus;Datenbank: OpenTSDB;Datenbank: Graphite;Datenbank: AWS Timestream;Datenbank: GridDB;Datenbank: Apache Druid;Datenbank: TDengine;Datenbank: QuestDB;Datenbank: Nicht zutreffend;Datenbank: Sonstige;Datenbank: Sonstige (offene Eingabe);Datenbank: Eigene;Datenbank: Eigene (offene Eingabe);Visualisierung: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Visualisierung: Grafana;Visualisierung: Highchart;Visualisierung: KNIME;Visualisierung: Excel;Visualisierung: POSTPROC;Visualisierung: Naotilus;Visualisierung: Nicht zutreffend;Visualisierung: Sonstige;Visualisierung: Sonstige (offene Eingabe);Visualisierung: Eigene;Visualisierung: Eigene (offene Eingabe);Messkonzept: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Messkonzept: AMEV -Technisches Monitoring 2020;Messkonzept: Messleitfaden Energiewendebauen;Messkonzept: Bundesanstalt für Immobilienaufgaben;Messkonzept: VDI 6014;Messkonzept: Mir sind keine Messkonzepte bekannt;Messkonzept: Nicht zutreffend;Messkonzept: Eigene;Messkonzept: Eigene (offene Eingabe);Messkonzept: Sonstige;Datenpunkte: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Datenpunkte: BUDO-Schema;Datenpunkte: Brick;Datenpunkte: Haystack;Datenpunkte: Semantic Sensor Network Ontology;Datenpunkte: DIN 6779;Datenpunkte: Nicht zutreffend;Datenpunkte: Eigene;Datenpunkte: Eigene (offene Eingabe);Datenpunkte: Sonstige;Datenpunkte: Sonstige (offene Eingabe);Protokolle: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Protokolle: BACnet;Protokolle: DALI;Protokolle: EnOcean;Protokolle: KNX;Protokolle: LoRaWan;Protokolle: LonWorks;Protokolle: MQTT;Protokolle: Modbus;Protokolle: OPC UA;Protokolle: Zigbee;Protokolle: m-Bus;Protokolle: profibus;Protokolle: Nicht zutreffend;Protokolle: Sonstige;Protokolle: Sonstige (offene Eingabe);Programmiersprache: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;Programmiersprache: C#;Programmiersprache: C++;Programmiersprache: Java;Programmiersprache: JavaScript;Programmiersprache: Python;Programmiersprache: R;Programmiersprache: Go;Programmiersprache: VBA;Programmiersprache: SQL;Programmiersprache: Keine / Nicht zutreffend;Programmiersprache: Sonstige;Programmiersprache: Sonstige (offene Eingabe)
74;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
78;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
79;1;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
80;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;ausgewählt;;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;2;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;;nicht gewählt;;4;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
83;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;2;ausgewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;2;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;;nicht gewählt;;5;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
85;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;2;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;MySQL;nicht gewählt;;2;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;ausgewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;;nicht gewählt;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;;nicht gewählt;;2;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;2;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;
86;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;MageAI;nicht gewählt;;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;1;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;3;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;2;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
91;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
93;1;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;Konzept aus dem Vorgängerprojekt EASyQuart;nicht gewählt;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;noch nicht bekannt;2;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
100;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
102;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;ausgewählt;R und Excel;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;Datenbank eines Dienstleisters;nicht gewählt;;2;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;R;nicht gewählt;;2;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;individuell entwickeltes Messkonzept;nicht gewählt;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;angepasstes BUDO-Schema;nicht gewählt;;3;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;2;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
107;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;Eigene, in einem anderen Projekt aufgebaute Infrastruktur;nicht gewählt;;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;Python;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
108;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;0;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;3;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
112;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;2;ausgewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;"MoniSoft; Phyton";nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;;nicht gewählt;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;;nicht gewählt;;2;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;
113;1;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;SQL;nicht gewählt;;2;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;MATLAB;nicht gewählt;;1;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;;nicht gewählt;1;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;;nicht gewählt;;3;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;;2;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;nicht gewählt;ausgewählt;MATLAB
